method,timestamp,dataset,network,mask_mode,lr,iteration,num_exp,num_dummy,avg_final_loss,avg_final_mse,avg_psnr
iDLG,20260226_162406,cifar10,LeNet,conv12_fc,1.0,300,10,1,93.49317434289273,1556095270.4000466,17.098207497567746
iDLG_masked,20260226_162406,cifar10,LeNet,conv12_fc,1.0,300,10,1,21.677732903216754,36616686812.61354,11.354282825977
iDLG,20260226_163307,cifar10,LeNetCIFAR10,conv12_fc,1.0,300,10,1,444.19193349568593,1.6101496369397195e+22,-22.57833539487886
iDLG_masked,20260226_163307,cifar10,LeNetCIFAR10,conv12_fc,1.0,300,10,1,2.7359057369459436,2.1099395040556352e+18,24.34767016903255
iDLG,20260226_164400,cifar10,MediumCNN,conv12_fc,1.0,300,10,1,142102154.6,924655472.7088093,-12.31959483727739
iDLG_masked,20260226_164400,cifar10,MediumCNN,conv12_fc,1.0,300,10,1,103531168.8,442476.4054803066,-9.299369338208502
iDLG,20260226_180230,cifar10,LeNet_bigger,conv12_fc,0.5,300,10,1,442.8216740609687,1640105063241.8384,-10.32877278498596
iDLG_masked,20260226_180230,cifar10,LeNet_bigger,conv12_fc,0.5,300,10,1,145.78954945751124,11492140686.848778,21.093428294341386
iDLG,20260226_182808,cifar10,MediumCNN,conv1_fc,0.5,300,10,1,108668185.8,2.855115378461778,6.470765091957799
iDLG_masked,20260226_182808,cifar10,MediumCNN,conv1_fc,0.5,300,10,1,81686999.9,5002008576.653978,-7.055136079325349
iDLG,20260226_191344,cifar10,MediumCNN,conv13_fc,1,300,10,1,179266759.2,15.210645307973028,-0.6271881666551823
iDLG_masked,20260226_191344,cifar10,MediumCNN,conv13_fc,1,300,10,1,111623548.0,36.57432486526668,-1.1547528427993197
